Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/17,16:00,1.7,195,1.8,17.4,1014.1,0.25
2022/1/17,17:00,1.8,179,2.7,17.2,1014.5,-0.016
2022/1/17,18:00,1.4,172,1.7,19.1,1015,0.181
2022/1/17,19:00,0.2,16,0.7,22.4,1015.2,-0.102
2022/1/17,20:00,1.9,39,2.1,22.8,1015.7,0.096
2022/1/17,21:00,2.8,22,3.5,23,1015.5,-0.033
2022/1/17,22:00,3.8,22,4.7,23.8,1015.3,0.223
2022/1/17,23:00,4.4,7,5.4,24,1014,0.274
2022/1/18,0:00,4.4,47,6,24.4,1013.1,0.467
2022/1/18,1:00,3.7,43,6.7,24.4,1012.1,0.743
2022/1/18,2:00,3.3,21,4.2,24.5,1012.4,0.927
2022/1/18,3:00,3.4,354,5.7,24.8,1012.3,0.777
2022/1/18,4:00,2.9,336,3.8,24.4,1012.4,0.819
2022/1/18,5:00,4,320,4.5,23.7,1013.1,0.694
2022/1/18,6:00,3.9,326,4.8,23.6,1014.3,0.513
2022/1/18,7:00,2.1,289,2.8,23.4,1014.5,0.565
2022/1/18,8:00,1.9,241,2.3,23,1014.5,0.254
2022/1/18,9:00,1.4,242,1.7,22.1,1014.5,0.389
2022/1/18,10:00,1.1,186,1.2,20.7,1014.6,0.206
2022/1/18,11:00,1.3,164,1.4,20.5,1014.5,0.328
2022/1/18,12:00,1.4,164,1.8,19.5,1014.2,0.422
2022/1/18,13:00,1.4,174,2.1,20,1013.5,0.365
2022/1/18,14:00,2,181,2.6,18.9,1013,0.291
2022/1/18,15:00,1.1,268,1.4,19.4,1013.4,0.336
2022/1/18,16:00,1.2,109,1.5,19.5,1013.5,0.407
2022/1/18,17:00,2.2,265,2.7,19.5,1014.1,0.194
2022/1/18,18:00,1,218,1.4,20.5,1014.7,0.004
2022/1/18,19:00,1.1,137,1.5,23.4,1014.9,0.027
